Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Distance (km),Mileage (kms/Lt),Years Used,Price
0.0,10.0,8.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,53052.0,9.2,5.0,43880.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,3.0,6.0,77127.0,9.1,6.0,36486.0
0.0,10.0,8.0,3.0,1.0,5.0,8.0,0.0,4.0,4.0,33032.0,10.1,5.0,40888.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,2.0,4.0,4.0,50702.0,10.1,4.0,44599.0
0.0,10.0,8.0,3.0,7.0,1.0,2.0,2.0,4.0,4.0,67950.0,9.7,3.0,46989.0
0.0,10.0,8.0,3.0,7.0,0.0,2.0,0.0,4.0,7.0,31000.0,9.0,2.0,60899.0
0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,4.0,4.0,27800.0,9.7,4.0,49099.0
0.0,10.0,7.0,3.0,8.0,0.0,8.0,0.0,4.0,6.0,34396.0,10.3,5.0,36499.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,60892.0,10.1,4.0,38495.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,123535.0,11.2,15.0,11500.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,192552.0,12.1,9.0,14888.0
0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,163537.0,10.5,9.0,14971.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,179301.0,9.4,8.0,16399.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,65684.0,9.2,4.0,40995.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,211000.0,9.3,7.0,18999.0
0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,104368.0,12.4,8.0,20295.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,166813.0,9.3,7.0,20950.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,207000.0,9.0,8.0,20995.0
0.0,10.0,7.0,4.0,1.0,4.0,2.0,0.0,4.0,4.0,95000.0,12.2,7.0,21950.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,66208.0,11.6,5.0,22890.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,5.0,174000.0,9.0,8.0,22990.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,158248.0,9.1,7.0,25888.0
0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,43150.0,11.2,5.0,33495.0
0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,4.0,6.0,89542.0,9.0,8.0,28000.0
0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,92276.0,10.3,5.0,28295.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,104000.0,9.3,6.0,28450.0
0.0,10.0,7.0,4.0,6.0,0.0,2.0,0.0,4.0,4.0,58610.0,11.5,5.0,28495.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,6.0,71960.0,9.3,7.0,28990.0
0.0,10.0,8.0,3.0,6.0,1.0,2.0,0.0,4.0,6.0,98175.0,9.3,6.0,29800.0
0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,89000.0,11.5,5.0,29850.0
0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,36253.0,11.6,4.0,29998.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,62000.0,11.5,5.0,30950.0
0.0,10.0,7.0,3.0,1.0,5.0,8.0,0.0,4.0,4.0,52337.0,9.7,4.0,39799.0
0.0,10.0,8.0,3.0,1.0,5.0,8.0,0.0,2.0,6.0,69806.0,9.3,6.0,31249.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,119000.0,10.0,5.0,31450.0
0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,48752.0,11.6,5.0,31495.0
0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,53420.0,10.3,5.0,31495.0
0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,134000.0,10.0,4.0,32450.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,27630.0,10.3,5.0,32495.0
0.0,10.0,7.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,82000.0,9.7,5.0,32950.0
0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,29012.0,10.3,5.0,33295.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,23216.0,10.3,5.0,33295.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,39100.0,9.7,4.0,44988.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,65522.0,9.1,7.0,33390.0
0.0,10.0,8.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,97000.0,9.1,7.0,33777.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,116802.0,9.3,5.0,33795.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,38069.0,10.3,5.0,33888.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,91412.0,9.1,7.0,33994.0
0.0,10.0,8.0,3.0,1.0,4.0,2.0,0.0,4.0,4.0,114612.0,9.7,5.0,34390.0
0.0,10.0,8.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,118800.0,9.1,6.0,34488.0
0.0,10.0,8.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,82000.0,9.1,6.0,34777.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,141120.0,9.2,5.0,34880.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,98000.0,9.1,6.0,34950.0
0.0,10.0,7.0,3.0,5.0,0.0,2.0,0.0,4.0,6.0,115527.0,12.0,6.0,34998.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,102000.0,9.3,5.0,35480.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,102000.0,10.1,5.0,35850.0
0.0,10.0,8.0,3.0,4.0,5.0,2.0,0.0,4.0,6.0,79032.0,10.1,5.0,35990.0
0.0,10.0,7.0,4.0,7.0,5.0,2.0,0.0,3.0,4.0,9209.0,11.8,3.0,35995.0
0.0,10.0,8.0,3.0,1.0,4.0,2.0,0.0,4.0,6.0,78702.0,9.2,5.0,35995.0
0.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,4.0,5.0,94862.0,9.1,6.0,34743.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,75420.0,10.1,5.0,36995.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,65795.0,10.1,4.0,37495.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,76885.0,9.2,5.0,37495.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,2.0,4.0,4.0,68263.0,10.1,5.0,37498.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,79344.0,9.2,5.0,37888.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,5.0,75786.0,9.7,5.0,38388.0
0.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,61006.0,9.7,5.0,39088.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,48759.0,10.1,4.0,39295.0
0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,88483.0,9.7,4.0,39588.0
0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,33810.0,12.2,6.0,26988.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,99000.0,9.7,4.0,39850.0
0.0,10.0,8.0,3.0,7.0,3.0,2.0,2.0,4.0,4.0,83981.0,9.7,4.0,39890.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,78000.0,9.3,5.0,39995.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,67208.0,9.3,5.0,40495.0
0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,4.0,4.0,96233.0,9.7,4.0,40888.0
0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,53960.0,9.1,4.0,40990.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,2.0,3.0,4.0,59380.0,10.1,4.0,42994.0
0.0,10.0,7.0,3.0,4.0,0.0,2.0,0.0,4.0,5.0,38897.0,10.2,3.0,41394.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,35473.0,9.7,4.0,41990.0
0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,3.0,4.0,56139.0,9.7,4.0,42588.0
0.0,10.0,8.0,3.0,2.0,5.0,2.0,0.0,3.0,5.0,48368.0,10.1,4.0,42588.0
0.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,4.0,4.0,44502.0,9.7,4.0,42599.0
0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,65060.0,9.2,5.0,42888.0
0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,12980.0,10.0,4.0,42888.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,42017.0,10.1,4.0,42990.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,58742.0,9.7,3.0,43495.0
0.0,10.0,8.0,3.0,6.0,3.0,2.0,0.0,4.0,5.0,80754.0,9.1,4.0,43770.0
0.0,10.0,8.0,3.0,6.0,5.0,8.0,0.0,3.0,5.0,57590.0,9.1,4.0,43997.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,44337.0,9.7,3.0,44295.0
0.0,10.0,7.0,3.0,2.0,5.0,2.0,0.0,4.0,4.0,21448.0,10.2,3.0,44995.0
0.0,10.0,8.0,3.0,6.0,3.0,2.0,0.0,4.0,4.0,32479.0,9.7,3.0,45295.0
0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,5.0,25873.0,9.7,4.0,45995.0
0.0,10.0,7.0,3.0,1.0,5.0,8.0,0.0,4.0,4.0,29704.0,10.2,3.0,47099.0
0.0,10.0,8.0,3.0,7.0,0.0,2.0,0.0,4.0,4.0,33413.0,9.7,3.0,47588.0
0.0,10.0,7.0,3.0,7.0,3.0,2.0,0.0,4.0,4.0,12209.0,10.1,2.0,50188.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,29776.0,9.7,2.0,52795.0
0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,29841.0,8.9,3.0,55995.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,2.0,4.0,6.0,32865.0,9.0,2.0,62599.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,267187.0,12.2,11.0,10795.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,209511.0,10.9,10.0,13588.0
0.0,10.0,8.0,3.0,4.0,5.0,2.0,0.0,4.0,6.0,161202.0,8.6,13.0,13985.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,223000.0,8.6,11.0,13999.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,6.0,136541.0,11.4,10.0,16900.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,5.0,4.0,158868.0,10.9,10.0,17998.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,172000.0,9.5,9.0,17999.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,41116.0,11.6,5.0,29995.0
0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,31756.0,9.7,4.0,39836.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,110024.0,10.1,5.0,34995.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,137835.0,10.5,9.0,19450.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,76836.0,12.3,8.0,19890.0
0.0,10.0,7.0,4.0,6.0,2.0,2.0,0.0,4.0,4.0,117699.0,12.1,8.0,21995.0
0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,104000.0,12.2,6.0,22950.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,193000.0,9.0,8.0,23995.0
0.0,10.0,8.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,145000.0,9.0,8.0,23999.0
0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,73340.0,9.7,5.0,26471.0
0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,37089.0,12.2,6.0,26595.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,7.0,163527.0,9.1,7.0,29780.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,2.0,4.0,76620.0,9.3,6.0,29999.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,40734.0,11.6,5.0,30989.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,5.0,123240.0,9.1,7.0,32480.0
0.0,10.0,7.0,3.0,6.0,0.0,2.0,0.0,4.0,6.0,65339.0,10.0,5.0,34995.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,99000.0,9.3,7.0,35950.0
0.0,10.0,7.0,4.0,7.0,5.0,2.0,0.0,4.0,4.0,30500.0,11.6,4.0,35999.0
0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,6.0,81676.0,9.7,4.0,38549.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,30192.0,10.1,5.0,38995.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,49921.0,9.7,4.0,40850.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,13289.0,10.1,5.0,43995.0
0.0,10.0,7.0,3.0,1.0,1.0,2.0,0.0,3.0,4.0,7700.0,10.1,2.0,49988.0
0.0,10.0,8.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,184000.0,8.3,16.0,9995.0
0.0,10.0,8.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,244685.0,8.6,11.0,11888.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,6.0,168000.0,11.4,10.0,15895.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,154800.0,8.6,13.0,15995.0
0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,171697.0,11.9,9.0,15995.0
0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,191000.0,10.5,7.0,19995.0
0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,122000.0,12.2,7.0,21950.0
0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,10717.0,11.6,4.0,28995.0
0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,60529.0,9.7,5.0,34779.0
0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,5.0,65882.0,9.7,5.0,41990.0
0.0,10.0,8.0,3.0,7.0,0.0,2.0,2.0,3.0,4.0,50329.0,9.7,4.0,44995.0
0.0,10.0,7.0,4.0,0.0,3.0,2.0,0.0,4.0,4.0,229000.0,13.8,22.0,2998.0
0.0,10.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,230098.0,13.0,21.0,6999.0
0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,123338.0,13.8,22.0,6999.0
0.0,10.0,2.0,4.0,1.0,5.0,2.0,0.0,2.0,4.0,191492.0,12.5,19.0,7999.0
0.0,10.0,8.0,3.0,6.0,2.0,2.0,0.0,4.0,4.0,226356.0,9.0,16.0,8995.0
0.0,10.0,7.0,4.0,1.0,1.0,8.0,0.0,4.0,4.0,99000.0,12.3,8.0,22900.0
0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,103658.0,9.7,5.0,34995.0
0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,10735.0,10.3,5.0,35495.0
0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,50412.0,10.0,5.0,35995.0
0.0,10.0,7.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,10122.0,11.6,2.0,35995.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,80862.0,10.1,5.0,35995.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,67934.0,10.1,5.0,36995.0
0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,5.0,85772.0,9.3,5.0,37995.0
0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,5.0,65969.0,9.7,5.0,38989.0
0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,102340.0,9.7,4.0,39995.0
0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,4.0,4.0,25777.0,10.1,4.0,40788.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,55635.0,10.1,4.0,42995.0
0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,92078.0,9.9,3.0,44995.0
0.0,10.0,8.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,48622.0,9.1,4.0,45995.0
0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,5.0,49050.0,9.7,3.0,46495.0
0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,4.0,14700.0,9.7,2.0,53995.0
0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,7.0,50845.0,9.0,2.0,60866.0
0.0,10.0,8.0,3.0,7.0,1.0,2.0,0.0,4.0,6.0,45339.0,9.0,2.0,61417.0
0.0,10.0,7.0,4.0,6.0,2.0,2.0,0.0,4.0,5.0,316168.0,11.1,19.0,3000.0
0.0,10.0,7.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,234000.0,11.8,13.0,9500.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,240000.0,9.7,13.0,9999.0
0.0,10.0,7.0,4.0,5.0,1.0,2.0,0.0,4.0,6.0,178878.0,9.7,17.0,12999.0
0.0,10.0,8.0,3.0,0.0,5.0,2.0,0.0,4.0,6.0,181045.0,8.6,14.0,13980.0
0.0,10.0,7.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,83020.0,12.2,6.0,25989.0
0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,34586.0,10.1,5.0,40995.0
0.0,10.0,7.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,142791.0,12.6,12.0,10985.0
