Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2019,Acura,Other Model Type,SUV,AWD,Black,White,Premium Unleaded,Automatic,4,4,9.92,33032,10.1,5,40888,7126.32
2022,Acura,Other Model Type,SUV,AWD,Red,Black,Gas,Automatic,4,,11.16,31000,9.0,2,60899,13368.07
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,4,4,10.31,27800,9.7,4,49099,10391.32
2019,Acura,Other Model Type,Sedan,AWD,Tan,Black,Premium Unleaded,Automatic,4,6,9.74,34396,10.3,5,36499,6165.93
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,9.92,60892,10.1,4,38495,4344.07
2009,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Manual,4,4,8.93,123535,11.2,15,11500,215.3
2015,Acura,Other Model Type,Sedan,AWD,Black,Blue,Gas,Automatic,4,6,9.54,163537,10.5,9,14971,474.48
2016,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.69,179301,9.4,8,16399,519.78
2020,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,10.91,65684,9.2,4,40995,4333.28
2017,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.74,211000,9.3,7,18999,558.79
2016,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,8.09,104368,12.4,8,20295,1064.72
2016,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,11.08,207000,9.0,8,20995,580.51
2017,Acura,Other Model Type,Sedan,FWD,Black,Red,Gas,Automatic,4,4,8.23,95000,12.2,7,21950,1358.81
2019,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,4,8.6,66208,11.6,5,22890,2252.72
2016,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,,11.08,174000,9.0,8,22990,749.67
