Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,6.0,0.0,4.0,4.0,9.92,33032.0,10.1,5.0,40888.0,7126.32
2022.0,0.0,10.0,7.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,11.16,31000.0,9.0,2.0,60899.0,13368.07
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,6.0,0.0,4.0,4.0,10.31,27800.0,9.7,4.0,49099.0,10391.32
2019.0,0.0,10.0,8.0,3.0,8.0,0.0,6.0,0.0,4.0,6.0,9.74,34396.0,10.3,5.0,36499.0,6165.93
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,60892.0,10.1,4.0,38495.0,4344.07
2009.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,8.93,123535.0,11.2,15.0,11500.0,215.3
2015.0,0.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,9.54,163537.0,10.5,9.0,14971.0,474.48
2016.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.69,179301.0,9.4,8.0,16399.0,519.78
2020.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,10.91,65684.0,9.2,4.0,40995.0,4333.28
2017.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.74,211000.0,9.3,7.0,18999.0,558.79
2016.0,0.0,10.0,8.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.09,104368.0,12.4,8.0,20295.0,1064.72
2016.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,11.08,207000.0,9.0,8.0,20995.0,580.51
2017.0,0.0,10.0,8.0,4.0,1.0,4.0,2.0,0.0,4.0,4.0,8.23,95000.0,12.2,7.0,21950.0,1358.81
2019.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,8.6,66208.0,11.6,5.0,22890.0,2252.72
2016.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,5.0,11.08,174000.0,9.0,8.0,22990.0,749.67
2019.0,0.0,10.0,8.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.94,43150.0,11.2,5.0,33495.0,4726.48
2016.0,0.0,10.0,7.0,3.0,1.0,0.0,6.0,0.0,4.0,6.0,11.08,89542.0,9.0,8.0,28000.0,1687.73
2019.0,0.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,9.74,92276.0,10.3,5.0,28295.0,2074.9
2018.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,10.74,104000.0,9.3,6.0,28450.0,1746.93
2019.0,0.0,10.0,8.0,4.0,6.0,0.0,2.0,0.0,4.0,4.0,8.7,58610.0,11.5,5.0,28495.0,3114.89
2017.0,0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,6.0,10.74,71960.0,9.3,7.0,28990.0,2299.11
2019.0,0.0,10.0,8.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.7,89000.0,11.5,5.0,29850.0,2261.36
2020.0,0.0,10.0,8.0,4.0,1.0,0.0,2.0,0.0,4.0,4.0,8.6,36253.0,11.6,4.0,29998.0,5188.51
2019.0,0.0,10.0,8.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,8.7,62000.0,11.5,5.0,30950.0,3223.96
2020.0,0.0,10.0,8.0,3.0,1.0,5.0,6.0,0.0,4.0,4.0,10.29,52337.0,9.7,4.0,39799.0,5107.59
2018.0,0.0,10.0,7.0,3.0,1.0,5.0,6.0,0.0,2.0,6.0,10.74,69806.0,9.3,6.0,31249.0,2740.93
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.01,119000.0,10.0,5.0,31450.0,1828.49
2019.0,0.0,10.0,8.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.6,48752.0,11.6,5.0,31495.0,4020.5
2019.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,9.74,53420.0,10.3,5.0,31495.0,3724.57
2020.0,0.0,10.0,8.0,3.0,1.0,1.0,2.0,0.0,4.0,6.0,10.01,134000.0,10.0,4.0,32450.0,1802.78
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,9.74,27630.0,10.3,5.0,32495.0,6476.55
2019.0,0.0,10.0,8.0,3.0,7.0,0.0,2.0,0.0,4.0,6.0,10.29,82000.0,9.7,5.0,32950.0,2686.14
2019.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,9.74,29012.0,10.3,5.0,33295.0,6400.92
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,9.74,23216.0,10.3,5.0,33295.0,7517.84
2020.0,0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.31,39100.0,9.7,4.0,44988.0,7330.02
2017.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.98,65522.0,9.1,7.0,33390.0,2873.8
2017.0,0.0,10.0,7.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,10.98,97000.0,9.1,7.0,33777.0,2051.87
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.76,116802.0,9.3,5.0,33795.0,1998.88
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,9.74,38069.0,10.3,5.0,33888.0,5287.4
2019.0,0.0,10.0,7.0,3.0,1.0,4.0,2.0,0.0,4.0,4.0,10.31,114612.0,9.7,5.0,34390.0,2069.82
2018.0,0.0,10.0,7.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,10.98,118800.0,9.1,6.0,34488.0,1874.35
2018.0,0.0,10.0,7.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,10.98,82000.0,9.1,6.0,34777.0,2646.08
2018.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.98,98000.0,9.1,6.0,34950.0,2265.28
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,10.76,102000.0,9.3,5.0,35480.0,2375.89
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,102000.0,10.1,5.0,35850.0,2400.67
